,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths
2011,7.866277620804818,8.065612277495818,7617.64962547937,3.4370365533462723,1.8987317437264768,17.63681416662291,153.91714938299805,395.73104717536,94.14586239083806,7.46136562458993,6.590217861076509,7.6151738162221765,6.419907045177072,146.8373193677727,3.1293503084497547,72.5906922750075,2.5015560691785206
2012,9.116452202566009,9.2807963392331,7618.002163629546,3.4386726570429893,1.8988499165994925,17.179963283775724,123.35302733004609,354.35621617960743,98.69626847675252,8.077442980123111,7.362078721162584,8.258066621831054,7.190981532110022,152.0980808536189,3.7368080160070463,73.17378428580399,2.917058910965433
2013,8.289758379002235,8.445812039325018,7618.354698546774,3.4394427856659613,1.8988802045739206,17.179963283775724,140.4016534053526,428.5655546883932,114.17686693869464,7.693368488170656,6.825451646192795,7.890046949040883,6.637149754572611,104.01382487694568,3.2307134890265394,57.02913954445587,2.6119012642303976
2014,7.815623136038202,7.787612603415635,7618.707230231247,3.4711120205049966,1.9008914460073836,20.00670053867296,140.07902169985908,561.9156190369688,134.72924613115634,7.975667192787142,7.133265928220234,8.145467912164825,7.141851289567108,108.51982365938733,3.441802629058428,49.18644761994429,2.670990863126874
2015,11.723979676559646,12.073765494661036,7619.059758683187,3.448005363310418,1.8996101982348859,18.982177785998818,133.26807036896054,382.12867183130214,114.14537977495586,9.452611111110526,9.7816376183122,9.740973013564881,9.848466162622165,71.11843369031425,4.882872049713623,32.27732286975559,3.597510379106703
2016,8.961435094006754,9.196817774843245,7619.41228390279,3.4504393065698595,1.8997145842804706,16.87341964138391,123.35302733004609,356.012266484516,105.5473195158372,8.227720821064704,7.350683477226956,8.425015181792634,7.125592689524253,136.0135172281539,3.8634203154591478,64.44517911609996,2.999801551293715
2017,10.04380502408302,10.298563497399611,7619.764805890262,3.4591673643896548,1.900333307036873,18.330504468320004,141.05975400234274,431.53061350004225,118.44180910058323,8.757026107798621,8.25835958258167,9.002108292630211,8.160872954438087,103.83407103156435,4.290425077849271,49.6466426501195,3.265574219467525
2018,9.858595742376073,10.02486491974265,7620.1173246458275,3.4657513953905346,1.9006197430654355,19.64273032393285,152.516807304695,534.0054307892685,120.19399486812551,8.564882406047385,8.081930249093201,8.784496511326408,8.071552507638332,75.25268210559595,3.9311390260446673,35.11564266695217,3.0231850912733242
2019,9.036586587016384,9.159630619927572,7620.469840169681,3.435153532614105,1.8985868300737834,19.38197253669591,123.35302733004609,338.8041721516417,115.11549565187445,8.008300583365784,7.425009850469398,8.191511029753405,7.287047919363908,133.04567982199706,3.6462063098076847,66.6527278276746,2.8687773596712662
2020,8.667530112562313,8.947375068178252,7620.822352462047,3.458094881637791,1.9000742951927654,18.799647609996338,123.35302733004609,504.03980077217966,128.81168102266471,8.401140124818582,7.453946134592826,8.611014378437957,7.311085696881636,114.32078889278253,3.9648494779735417,57.491700511881,3.0789229974098253
2021,8.948894477907468,9.192387141800962,7621.174861523119,3.448335296796503,1.8996774392665403,16.957142545895756,133.34567075121512,405.91943819663214,93.76965178077637,8.194236772997218,7.4358423202698125,8.409401824103435,7.305621636067562,111.95972043780783,3.7768559207770194,54.02572377219994,2.9429525453274588
